BusinessID,anurag,alisa,dixin,ronnie (haining),minyi,anthony,vignesh,alex,tuan ,yuxuan,bingjie,xiaoran,ruixuan,hongbo,chen,jimmy,keerat,yulin
1A145785,26068.56733,1527400,376088,204699.64,3997582.372,1161816.109,3435.72,374433.04,4307.284379,1102207.5,184112.8162,211312.4823,36016.75167,45431.09529,44821.27368,1265551.539,1776100,48610
8A145790,1250.000001,3021400,794533,293310.88,3997582.372,2430474.346,7968.18,768921.53,2273.956425,1332911.9,367188.3295,405806.2967,40557.98869,106024.5383,40395.01107,1505960.976,1151400,48060
1A145851,3681.117167,1000,114480,78737.484,3997582.372,3033465.31,1688.48,122236.03,1928.086326,1106473,61501.5044,66976.45379,40886.10474,46586.27752,30791.51586,569051.8867,1130800,24694
7A145857,1394.652652,1882000,449872.5,197549.97,3997582.372,5554314.865,1850.3,414893.46,2162.825,1373192.2,228798.0867,243061.0336,34667.30158,38956.00785,47292.00639,1851045.939,5000,39709
4A145986,36434.69788,3886840,966063,451111.44,3997582.372,1149378.034,4532.31,817834.16,4310.395015,1483037.4,472246.6796,465012.6838,40309.62936,45971.37273,44518.53547,323777.0438,5000,53611
6A146059,1274.355007,516520,116708,6879.75,3997582.372,1724315.878,1969.5,112859.66,1913.765799,1002819.56,54541.78481,63265.75312,48762.91185,50597.20089,30202.12065,2206598.997,1351000,42191
4A146191,20497.31475,952840,189574.8,124723.58,3997582.372,1900958.933,1681.12,221095.57,3613.691672,977344.5,111593.2683,137769.554,84384.69517,59175.17836,30608.74563,661560.8862,804900,62179
3A146208,1250.000002,4074400,976484.5,593610.44,3997582.372,1333936.554,8548.01,952476.43,2814.014649,1485712,504446.7164,553820.2687,42451.54462,83981.10881,35182.86164,329600.957,5000,75464
1A146306,20153.8769,1110160,265582.2,106856.8,3997582.372,2299011.128,1905.57,267427.51,4084.704725,1115629.6,132665.6163,151811.7688,28215.67176,111337.5942,33578.6357,4533558.708,5000,65442
5A146309,87054.71265,2675080,735372,454358.2,3997582.372,1607159.079,9879.81,538086.77,12166.78416,1286515.4,317357.564,391369.5973,33785.87473,39588.97373,44744.32312,658419.0552,5000,70434
0A146326,14814.11774,816760,178334.2,122236.95,3997582.372,3442667.363,1765.8,163994.46,3356.985826,1089156.8,91222.98943,109416.0782,44964.31261,46049.27201,36849.84387,947294.5888,201744.5597,68394
8A146327,1250,2922760,622497.2,320596.8,3997582.372,4284738.336,20329.56,710858.15,3362.466584,1353893.8,359002.8771,364210.5041,33134.10202,39051.4853,31954.26288,1017570.975,61544.17857,43524
8A146388,33179.98128,1000,644916,2279.4062,3997582.372,1452072.061,6631.47,521836.77,3405.849768,1325705.9,302067.4545,350492.1926,23890.71895,116325.2878,36184.15579,676473.3389,1095400,32187
3A146473,23277.4785,1910080,524997,195554.17,3997582.372,1221357.864,5718.35,463761.09,1911.32072,1190415.6,217921.7091,240185.8217,38423.10623,45420.30946,32041.39499,1260052.171,240090.0969,33912
9A146522,67374.21302,3442960,751494.6,223051.16,3997582.372,2359883.331,5282.61,708512.01,8019.09994,1292341,415080.6587,451245.4568,56971.57735,55060.25038,38056.30464,8820.397457,858900,34919
7A146646,2225.837242,1368640,332792.4,103065.97,3997582.372,2778029.306,1764.58,305666.4,4192.931465,1166544.6,157572.5565,182474.5432,33736.12249,89858.87387,38372.59683,889700.3088,5000,38644
2A146720,17269.26858,3196720,679090.5,556453.25,3997582.372,2188555.069,2750.55,774444.07,2325.487934,1280676.8,381149.9702,426395.9003,57919.76487,52412.63859,80584.82426,167408.0253,5000,28370
5A146793,50946.92815,3237400,814494,399098.5,3997582.372,1210144.391,9405.68,649734.34,8084.870706,1521792.2,389991.9402,427540.8587,58251.28889,45197.41215,32886.51031,713764.1676,5000,45062
5A146941,1250.000001,3767320,848468.2,369231.3,3997582.372,930004.403,16779.63,852179.06,2246.062892,1552913.2,452803.4484,496701.9622,34142.17758,97797.14655,34219.62023,195258.4788,213253.7363,25748
4A147040,27975.34801,3306160,660113.9,360724.2,3997582.372,2183033.124,1710.83,675975.55,3110.381642,1402153.8,407283.7897,456329.694,25945.63436,61646.75153,31528.50212,221738.7821,136671.6232,83102
7A147068,1250.000002,5299480,1031731.8,450605.7,3997582.372,2889072.714,7997.34,1291136.52,2366.311078,1599306.8,638009.1156,728062.0681,36013.39593,68884.84305,33852.09394,56827.90588,5000,33158
6A147169,1250,2541160,706305.6,598512.9,3997582.372,3901414.656,3048.73,586205.83,2543.517094,1234631.5,305822.5014,377502.8114,31596.27315,62550.17519,41140.96836,325470.0738,128816.0292,30460
3A147241,14353.25643,1330840,296997.6,56440.438,36974.33143,5336523.828,49655.62,269127.19,2212.967533,1280663.6,144219.5548,164762.9463,34709.24578,57102.20753,37772.1267,1306954.046,1098200,53529
1A147290,1250,1441000,281600,136994.53,3997582.372,4818326.864,2223.06,311534.09,4448.200612,1161791.1,166793.7414,187313.7753,40809.59747,79428.51363,30301.53297,845524.7384,5000,57630
1A147572,1250,2655640,622365.6,386655.34,3997582.372,2000359.779,1816.89,589738.67,2944.693957,1286071.5,325502.7671,395197.7382,29194.87151,43618.3045,36038.91433,525504.0607,5000,31186
3A147624,1250.000001,3118600,769874,435298.3,3997582.372,3621052.11,1855.43,608762.82,2168.307897,1478721.8,374364.6583,419388.023,26769.05909,105798.5459,27115.924,178018.4835,284870.6289,52793
0A147835,1250.000001,4489120,896377.3,435754.75,3997582.372,3981259.512,16814.42,897225.13,2567.688116,1687040.2,545576.2976,596061.4924,37900.87573,44194.11376,39647.09195,149812.8402,911300,50771
